Year,Country of origin,Country of asylum,Population Type,Female 0 - 4,Female 5 - 11,Female 12 - 17,Female 18 - 59,Female 60,Female other,Female total,Male 0 - 4,Male 5 - 11,Male 12 - 17,Male 18 - 59,Male 60,Male other,Male total,Total
2005,Myanmar,Pakistan,REF,5,0,0,7,0,0,12,0,5,0,8,0,0,13,25
2005,Myanmar,Portugal,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2005,Myanmar,Sweden,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569
2005,Myanmar,Switzerland,REF,0,0,0,0,0,0,0,0,0,0,8,0,0,8,8
2005,Myanmar,Thailand,REF,8447,10871,9318,26804,2224,0,57664,8973,11430,9798,26448,2186,0,58835,116499
2005,Myanmar,United States of America,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6793
2006,Myanmar,Australia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2558
2006,Myanmar,Belgium,REF,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
2006,Myanmar,Bangladesh,REF,2289,3256,1887,5878,315,0,13625,2312,3239,1821,4965,306,0,12643,26268
2006,Myanmar,Cambodia,REF,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
2006,Myanmar,Canada,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429
2006,Myanmar,Denmark,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686
2006,Myanmar,Finland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388
2006,Myanmar,France,REF,0,0,0,0,0,22,22,0,0,0,0,0,95,95,117
2006,Myanmar,United Kingdom of Great Britain and Northern Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
2006,Myanmar,Germany,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486
2006,Myanmar,Greece,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2006,Myanmar,India,REF,70,104,123,528,5,0,830,94,120,124,626,18,0,982,1812
2006,Myanmar,Indonesia,REF,0,0,0,0,0,0,0,0,0,0,19,0,0,19,19
2006,Myanmar,Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2006,Myanmar,Japan,REF,0,0,0,0,0,81,81,0,0,0,0,0,188,188,269
2006,Myanmar,Rep. of Korea,REF,0,0,0,6,0,0,6,0,0,0,15,0,0,15,21
2006,Myanmar,Mexico,REF,0,0,0,0,0,0,0,0,0,0,14,0,0,14,14
2006,Myanmar,Malaysia,REF,906,714,1064,3560,101,0,6345,942,781,1332,11966,178,0,15199,21544
2006,Myanmar,Nepal,REF,0,0,0,0,0,0,0,0,0,5,6,0,0,11,11
2006,Myanmar,Netherlands,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473
2006,Myanmar,Norway,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1223
2006,Myanmar,New Zealand,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485
2006,Myanmar,Pakistan,REF,0,0,5,8,0,0,13,0,0,0,0,0,0,0,25
2006,Myanmar,Philippines,REF,0,0,0,0,0,0,0,0,0,0,6,0,0,6,6
2006,Myanmar,Portugal,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2006,Myanmar,Sweden,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867
2006,Myanmar,Switzerland,REF,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12
2006,Myanmar,Thailand,REF,9163,12045,10031,31142,2622,0,65003,9748,12530,10478,32020,2462,0,67238,132241
2006,Myanmar,United States of America,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11639
2007,Myanmar,Australia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433
2007,Myanmar,Belgium,REF,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5
2007,Myanmar,Bangladesh,REF,2371,3765,1576,6198,305,0,14215,2481,3688,1555,5306,299,0,13329,27544
2007,Myanmar,Cambodia,REF,0,0,6,0,0,0,6,0,0,0,0,0,0,0,6
2007,Myanmar,Canada,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205
2007,Myanmar,Czechia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2007,Myanmar,Denmark,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
2007,Myanmar,Finland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2007,Myanmar,France,REF,0,0,0,0,0,0,0,0,0,0,0,0,127,127,127
2007,Myanmar,United Kingdom of Great Britain and Northern Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250
2007,Myanmar,Germany,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607
2007,Myanmar,Greece,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2007,Myanmar,Hungary,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2007,Myanmar,India,REF,81,93,134,514,8,0,830,105,103,120,629,25,0,982,1812
2007,Myanmar,Indonesia,REF,0,0,0,0,0,0,0,0,0,0,23,0,0,23,23
2007,Myanmar,Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2007,Myanmar,Japan,REF,0,0,0,0,0,134,134,0,0,0,0,0,237,237,371
2007,Myanmar,Rep. of Korea,REF,0,0,0,10,0,0,10,5,0,0,15,0,0,20,30
2007,Myanmar,Mexico,REF,0,0,0,0,0,0,0,0,0,0,8,0,0,8,8
2007,Myanmar,Malaysia,REF,974,1199,1035,5254,125,0,8587,1082,1335,1496,16707,210,0,20830,29474
2007,Myanmar,Nepal,REF,0,0,0,0,0,0,0,0,0,0,12,0,0,12,12
2007,Myanmar,Netherlands,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235
2007,Myanmar,Norway,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
2007,Myanmar,New Zealand,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
2007,Myanmar,Pakistan,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
2007,Myanmar,Philippines,REF,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2007,Myanmar,Portugal,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2007,Myanmar,Singapore,REF,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7
2007,Myanmar,Sweden,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
2007,Myanmar,Switzerland,REF,0,0,0,0,0,5,5,0,0,0,8,0,5,13,18
2007,Myanmar,Thailand,REF,8684,11275,9349,29549,2555,0,61412,9268,11670,9761,30034,2417,0,63150,124562
2007,Myanmar,United States of America,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5334
2008,Myanmar,Australia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455
2008,Myanmar,Austria,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2008,Myanmar,Belgium,REF,0,0,0,0,0,5,5,0,0,0,0,0,7,7,12
2008,Myanmar,Bangladesh,REF,2682,3575,2057,6069,272,0,14655,2701,3563,2016,5129,273,0,13682,28337
2008,Myanmar,Cambodia,REF,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2008,Myanmar,Canada,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235
2008,Myanmar,Czechia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
2008,Myanmar,Denmark,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
2008,Myanmar,Finland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2008,Myanmar,France,REF,0,0,0,0,0,30,30,0,0,0,0,0,114,114,144
2008,Myanmar,United Kingdom of Great Britain and Northern Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390
2008,Myanmar,Germany,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729
2008,Myanmar,Greece,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2008,Myanmar,Hungary,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2008,Myanmar,India,REF,93,104,135,536,15,0,883,93,103,139,727,22,0,1084,1967
2008,Myanmar,Indonesia,REF,0,0,0,0,0,0,0,0,0,0,17,0,0,17,17
2008,Myanmar,Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2008,Myanmar,Italy,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2008,Myanmar,Japan,REF,0,0,0,0,0,276,276,0,0,0,0,0,470,470,746
2008,Myanmar,Rep. of Korea,REF,0,5,0,8,0,0,13,0,0,5,39,0,0,44,57
2008,Myanmar,Sri Lanka,REF,0,0,0,0,0,0,0,0,0,9,46,0,0,55,55
2008,Myanmar,Mexico,REF,0,0,0,0,0,0,0,0,0,0,8,0,0,8,8
2008,Myanmar,Malaysia,REF,1803,1525,1508,6707,130,0,11673,1961,1634,1988,16218,241,0,22042,33781
2008,Myanmar,Nepal,REF,0,0,0,5,0,0,5,0,0,0,8,0,0,8,13
2008,Myanmar,Netherlands,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395
2008,Myanmar,Norway,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
2008,Myanmar,New Zealand,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
2008,Myanmar,Pakistan,REF,0,0,9,10,0,0,19,0,0,9,0,0,0,9,28
2008,Myanmar,Philippines,REF,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2008,Myanmar,Papua New Guinea,REF,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2008,Myanmar,Portugal,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2008,Myanmar,Singapore,REF,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7
2008,Myanmar,Sweden,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
2008,Myanmar,Switzerland,REF,0,0,0,5,0,0,5,0,0,0,9,0,6,15,20
2008,Myanmar,Thailand,REF,7696,10185,8261,26723,2463,0,55328,8179,10504,8638,26499,2407,0,56227,111555
2008,Myanmar,United States of America,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5170
2009,Myanmar,Australia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489
2009,Myanmar,Austria,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2009,Myanmar,Belgium,REF,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9
2009,Myanmar,Bangladesh,REF,2642,3410,2300,6119,256,0,14727,2664,3534,2217,5151,264,0,13830,228557
2009,Myanmar,Cambodia,REF,0,0,0,0,0,0,0,0,0,0,9,0,0,9,9
2009,Myanmar,Canada,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257
2009,Myanmar,Czechia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
2009,Myanmar,Denmark,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
2009,Myanmar,Finland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2009,Myanmar,France,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163
2009,Myanmar,United Kingdom of Great Britain and Northern Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517
2009,Myanmar,Germany,REF,13,13,17,150,5,0,198,9,28,15,495,11,0,558,756
2009,Myanmar,Greece,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2009,Myanmar,Hungary,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2009,Myanmar,India,REF,154,159,194,814,20,0,1341,155,162,204,1058,32,0,1611,2952
2009,Myanmar,Indonesia,REF,0,0,0,0,0,0,0,0,0,16,138,0,0,154,154
2009,Myanmar,Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2009,Myanmar,Italy,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2009,Myanmar,Jamaica,REF,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5
2009,Myanmar,Japan,REF,0,0,0,0,0,370,370,0,0,0,0,0,823,823,1193
2009,Myanmar,Rep. of Korea,REF,5,0,0,18,0,0,23,8,0,0,70,0,0,78,101
2009,Myanmar,Sri Lanka,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
2009,Myanmar,Mexico,REF,0,0,0,0,0,0,0,0,0,0,9,0,0,9,9
2009,Myanmar,Malaysia,REF,2753,2062,2157,12374,207,0,19553,3006,2192,3088,33223,331,0,41840,61412
2009,Myanmar,Nepal,REF,0,0,0,6,0,0,6,0,0,0,5,0,0,5,11
2009,Myanmar,Netherlands,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482
2009,Myanmar,Norway,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
2009,Myanmar,New Zealand,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
2009,Myanmar,Pakistan,REF,0,0,0,9,0,0,9,0,0,0,10,0,0,10,19
2009,Myanmar,Philippines,REF,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2009,Myanmar,Palau,REF,0,0,0,0,0,0,0,0,0,0,11,0,0,11,11
2009,Myanmar,Papua New Guinea,REF,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2009,Myanmar,Portugal,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2009,Myanmar,Singapore,REF,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2009,Myanmar,Sweden,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
2009,Myanmar,Switzerland,REF,0,0,8,5,0,0,13,0,0,5,9,0,7,21,34
2009,Myanmar,Thailand,REF,7143,9498,7421,25194,2516,0,51772,7476,9902,7832,24675,2450,0,52335,104107
2009,Myanmar,United States of America,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5021
2010,Myanmar,Australia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444
2010,Myanmar,Austria,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2010,Myanmar,Belgium,REF,0,0,0,0,0,5,5,0,0,0,0,0,6,6,11
2010,Myanmar,Bangladesh,REF,314,448,319,798,38,0,1917,321,462,306,682,38,0,1809,229226
2010,Myanmar,Cambodia,REF,0,0,0,5,0,0,5,0,0,0,5,0,0,5,10
2010,Myanmar,Canada,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265
2010,Myanmar,Czechia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2010,Myanmar,Denmark,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
2010,Myanmar,Finland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2010,Myanmar,France,REF,0,0,0,0,0,38,38,0,0,0,0,0,133,133,171
2010,Myanmar,United Kingdom of Great Britain and Northern Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625
2010,Myanmar,Germany,REF,12,19,19,165,5,0,220,10,33,15,507,14,0,579,799
2010,Myanmar,Greece,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2010,Myanmar,Hungary,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2010,Myanmar,India,REF,231,317,407,1222,40,0,2217,222,293,494,1370,34,0,2413,4630
2010,Myanmar,Indonesia,REF,0,0,0,0,0,0,0,0,5,0,44,0,0,49,49
2010,Myanmar,Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2010,Myanmar,Italy,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
2010,Myanmar,Japan,REF,0,0,0,0,0,492,492,0,0,0,0,0,975,975,1467
2010,Myanmar,Rep. of Korea,REF,7,0,0,23,0,0,30,8,0,0,81,0,0,89,119
2010,Myanmar,Sri Lanka,REF,0,0,0,0,0,0,0,0,0,0,55,0,0,55,55
2010,Myanmar,Malaysia,REF,3304,2235,1980,14912,282,0,22713,3473,2344,2673,44472,419,0,53381,76120
2010,Myanmar,Nepal,REF,5,0,0,9,0,0,14,0,0,5,16,0,0,21,35
2010,Myanmar,Netherlands,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632
2010,Myanmar,Norway,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132
2010,Myanmar,New Zealand,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
2010,Myanmar,Pakistan,REF,0,0,9,0,0,0,9,0,0,0,0,0,0,0,9
2010,Myanmar,Portugal,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2010,Myanmar,Romania,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
2010,Myanmar,Singapore,REF,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2010,Myanmar,Sweden,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
2010,Myanmar,Switzerland,REF,0,6,0,6,0,0,12,0,0,5,10,0,8,23,35
2010,Myanmar,Thailand,REF,6493,8697,6554,23700,2452,0,47896,6597,9071,6940,22816,2398,0,47822,95718
2010,Myanmar,United States of America,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4751
2011,Myanmar,Australia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514
2011,Myanmar,Austria,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2011,Myanmar,Belgium,REF,0,0,0,0,0,5,5,0,0,0,0,0,13,13,18
2011,Myanmar,Bangladesh,REF,281,449,352,851,39,0,1972,281,471,344,717,40,0,1853,229644
2011,Myanmar,Cambodia,REF,0,0,0,0,0,0,0,0,0,0,9,0,0,9,9
2011,Myanmar,Canada,REF,23,15,10,79,5,0,132,22,20,18,80,5,0,145,277
2011,Myanmar,Czechia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2011,Myanmar,Denmark,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
2011,Myanmar,Finland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
